page,app_event,blur,change,click,focus,input,keydown,keyup,mousedown,mousemove,mouseup,page,scroll,visibility
S1-subscribe-v1,0.22581758468846583,0.009672966124613665,0.009672966124613665,0.01934593224922733,0.01934593224922733,0.2064716524392385,0.2064716524392385,0.2064716524392385,0.01934593224922733,0.01934593224922733,0.01934593224922733,0.029018898373840998,0.0,0.009672966124613665
S2-subscribe-v2,0.2250731040813906,0.009970758367443756,0.009970758367443756,0.01994151673488751,0.01994151673488751,0.2051315873465031,0.2051315873465031,0.2051315873465031,0.01994151673488751,0.01994151673488751,0.01994151673488751,0.029912275102331264,0.0,0.009970758367443756
S3-subscribe-v3,0.22501518196276735,0.009993927214893058,0.009993927214893058,0.019987854429786116,0.019987854429786116,0.20502732753298122,0.20502732753298122,0.20502732753298122,0.019987854429786116,0.019987854429786116,0.019987854429786116,0.029981781644679177,0.0,0.009993927214893058
S4-scroll-gate,0.18143116143116142,0.0,0.0,0.08486217486217487,0.0,0.0,0.0,0.0,0.08486217486217487,0.1546978946978947,0.08486217486217487,0.2545865245865246,0.0838028638028638,0.08486217486217487
S5-hover-reveal,0.18409090909090908,0.0,0.0,0.08787878787878788,0.0027777777777777775,0.0,0.0,0.0,0.09065656565656566,0.18131313131313131,0.09065656565656566,0.2719696969696969,0.0,0.09065656565656566
S6-dom-mismatch,0.27474747474747474,0.0,0.0,0.09065656565656566,0.0,0.0,0.0,0.0,0.09065656565656566,0.09065656565656566,0.09065656565656566,0.2719696969696969,0.0,0.09065656565656566
