page,app_event,blur,change,click,focus,input,keydown,keyup,mousedown,mousemove,mouseup,page,visibility,scroll
Delayed Feedback — UX Behavior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
S1-subscribe-v1,0.1733735321247914,0.05590729108032725,0.027422325860511385,0.03895559762566678,0.05884658448583333,0.12529751265624806,0.16480169316567464,0.13584474306929425,0.03895559762566678,0.04534945951824989,0.03895559762566678,0.07221754887155207,0.02407251629051736,0.0
S2-subscribe-v2,0.17615276996825596,0.04982907284894134,0.030151034871763193,0.03520752469205059,0.05360466567716575,0.13231553140588578,0.16955181086803175,0.14543102801621444,0.03520752469205059,0.053421762271805416,0.03520752469205059,0.06355519711222307,0.020364552883561537,0.0
S3-subscribe-v3,0.17437949254168747,0.0587517900963703,0.02565095707959209,0.03028871955436004,0.06295280647129972,0.12954821311774598,0.16527509108060642,0.14211148571751256,0.03028871955436004,0.04055299917925347,0.03028871955436004,0.07699847193094325,0.03291253412190862,0.0
S4-scroll-gate,0.29969415622407597,0.011360407325416901,0.0,0.057028020695654234,0.045075091208225386,0.0,0.017745049372431595,0.0008116883116883116,0.056283973076606604,0.08248749389480627,0.056283973076606604,0.14927171238588735,0.04548373318845817,0.19690303238441267
S5-hover-reveal,0.19951732325060706,0.04069454062742911,0.0,0.053267170762444874,0.04642054635648536,0.0,0.04951358138429077,0.0,0.07909149003438713,0.1408319589447016,0.07909149003438713,0.24269034912017465,0.08089678304005822,0.0
S6-dom-mismatch,0.2057652492435101,0.002380952380952381,0.0,0.09370918936136327,0.002272727272727273,0.0,0.060531135531135524,0.0,0.09370918936136327,0.11172161172161173,0.09370918936136327,0.25830148112756807,0.08610049370918936,0.0
