agent,trial,n_requests,n_nav,n_sub,nav_order_unique_ratio,nav_order_stability,n_unique_nav_hashes,n_headers_mean,n_headers_std,sf_site_none_rate,sf_violation_rate,sf_site_mode,headless_rate,ch_incoherence_rate,ch_brand_matches_rate,ch_mobile_matches_rate,ch_platform_matches_rate,ch_brand_count_mode,accept_lang_rate,has_priority_rate,has_sec_ch_ua_rate,has_upgrade_ins_rate,has_dnt_rate,has_te_rate,has_connection_rate,has_cache_control_rate,ua_family_mode,ua_os_mode,ua_version_mode,ua_version_n_distinct,ua_family_n_distinct,priority_correct_rate,priority_urgency_mode,has_nonstandard_rate,nonstandard_names,n_nonstandard_distinct
autogen_websurfer,trial-001,8,7,1,1.0,0.14285714285714285,7,12.25,0.7071067811865476,0.5,0.0,none,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,0.0,0.0,edge,windows,122,1,1,1.0,0.0,0.0,,0
autogen_websurfer,trial-002,10,5,1,1.0,0.2,5,12.0,0.4714045207910317,0.4,0.4,,0.6,0.6,1.0,1.0,1.0,3,0.4,0.6,0.6,0.5,0.0,0.0,0.0,0.4,edge,windows,122,1,2,1.0,0.0,0.4,Cdn-Loop|Cf-Ew-Via|Cf-Ray|Cf-Visitor|Cf-Worker|Pragma|X-Forwarded-Proto,7
autogen_websurfer,trial-003,31,7,2,1.0,0.14285714285714285,7,6.612903225806452,3.2008063500190977,0.22580645161290322,0.7419354838709677,,0.25806451612903225,0.25806451612903225,1.0,1.0,1.0,0,0.6774193548387096,0.25806451612903225,0.25806451612903225,0.22580645161290322,0.0,0.0,0.6774193548387096,0.0,chrome,windows,78,4,3,1.0,0.0,0.6451612903225806,Keep-Alive,1
autogen_websurfer,trial-004,10,7,3,1.0,0.14285714285714285,7,12.0,0.4714045207910317,0.7,0.0,none,0.7,1.0,1.0,1.0,0.7,3,0.3,1.0,1.0,0.7,0.0,0.0,0.0,0.0,edge,windows,122,2,2,0.9,0.0,0.0,,0
autogen_websurfer,trial-005,9,6,1,1.0,0.16666666666666666,6,11.88888888888889,0.33333333333333337,0.6666666666666666,0.2222222222222222,none,0.7777777777777778,0.7777777777777778,1.0,1.0,1.0,3,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.0,0.0,0.0,0.2222222222222222,edge,windows,122,1,2,1.0,0.0,0.2222222222222222,Cdn-Loop|Cf-Ew-Via|Cf-Ray|Cf-Visitor|Cf-Worker|Pragma|X-Forwarded-Proto,7
autogen_websurfer,trial-006,8,7,1,1.0,0.14285714285714285,7,11.875,0.3535533905932738,0.875,0.0,none,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,0.0,0.0,edge,windows,122,1,1,1.0,0.0,0.0,,0
autogen_websurfer,trial-007,24,7,1,1.0,0.14285714285714285,7,8.458333333333334,3.550617419262602,0.2916666666666667,0.6666666666666666,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.2916666666666667,0.0,0.0,0.5,0.16666666666666666,chrome,windows,78,3,3,1.0,0.0,0.5833333333333334,Cdn-Loop|Cf-Ew-Via|Cf-Ray|Cf-Visitor|Cf-Worker|Keep-Alive|Pragma|X-Forwarded-Proto,8
autogen_websurfer,trial-008,12,7,1,1.0,0.14285714285714285,7,10.416666666666666,3.4761089357690347,0.5833333333333334,0.3333333333333333,none,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,3,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.0,0.0,0.0,0.16666666666666666,edge,windows,122,1,2,1.0,0.0,0.16666666666666666,Cdn-Loop|Cf-Ew-Via|Cf-Ray|Cf-Visitor|Cf-Worker|Pragma|X-Forwarded-Proto,7
autogen_websurfer,trial-009,8,7,1,1.0,0.14285714285714285,7,11.875,0.3535533905932738,0.875,0.0,none,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,0.0,0.0,edge,windows,122,1,1,1.0,0.0,0.0,,0
autogen_websurfer,trial-010,14,6,1,1.0,0.16666666666666666,6,10.285714285714286,3.291681156364455,0.42857142857142855,0.5,,0.5,0.5,1.0,1.0,1.0,0,0.2857142857142857,0.5,0.5,0.42857142857142855,0.0,0.0,0.14285714285714285,0.2857142857142857,edge,windows,122,3,3,1.0,0.0,0.2857142857142857,Cdn-Loop|Cf-Ew-Via|Cf-Ray|Cf-Visitor|Cf-Worker|Pragma|X-Forwarded-Proto,7
