agent,trial,f1_frac_kyber768,f1_frac_mlkem768,f2_frac_firefox_ja4,f2_frac_h2,f2_frac_pq,f3_mean_ak_window,f3_frac_win_firefox,f3_mean_init_window,f4_frac_s3_w110,f4_frac_s3_w220,f5_frac_s5_w110,f5_frac_s5_w220,f5_frac_s5_w256,f6_stream3_coverage,f6_stream5_coverage,f7_ja3_diversity,f7_ip_diversity,f8_mean_cipher_count,f8_mean_curve_count,f8_mean_sig_count,f9_h2_pseudo_order,f9_ak_pseudo_order,f10_frac_ext16,f10_frac_ext17,f10_frac_firefox_ext,f11_grease_cipher,f11_grease_curve,f11_grease_ver,f12_log_n_requests
skyvern,trial-020,0.0,0.9333333333333333,0.0,0.8,0.9333333333333333,103836331.58333333,0.06666666666666667,6116693.333333333,0.75,0.25,0.0,0.0,0.0,0.26666666666666666,0.0,0.9333333333333333,0.3333333333333333,15.6,4.333333333333333,9.4,0.0,0.0,0.13333333333333333,0.6,0.0,1.0,1.0,1.0,2.772588722239781
skyvern,trial-021,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.75,0.0,0.875,0.25,15.0,4.0,8.0,0.0,0.0,0.25,0.75,0.0,1.0,1.0,1.0,2.1972245773362196
skyvern,trial-022,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.8571428571428571,0.14285714285714285,1.0,0.0,0.0,0.875,0.125,0.75,0.125,15.0,4.0,8.0,0.0,0.0,0.25,0.75,0.0,1.0,1.0,1.0,2.1972245773362196
skyvern,trial-023,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.875,0.0,0.875,0.125,15.0,4.0,8.0,0.0,0.0,0.25,0.75,0.0,1.0,1.0,1.0,2.1972245773362196
skyvern,trial-024,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.875,0.0,0.875,0.125,15.0,4.0,8.0,0.0,0.0,0.25,0.75,0.0,1.0,1.0,1.0,2.1972245773362196
skyvern,trial-025,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.875,0.0,0.875,0.125,15.0,4.0,8.0,0.0,0.0,0.25,0.75,0.0,1.0,1.0,1.0,2.1972245773362196
skyvern,trial-026,0.1111111111111111,1.0,0.0,1.0,1.0,14847545.888888888,0.0,6524472.888888889,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.7777777777777778,0.0,0.8888888888888888,0.2222222222222222,14.88888888888889,4.333333333333333,8.222222222222221,0.0,0.0,0.3333333333333333,0.5555555555555556,0.0,1.0,1.0,1.0,2.302585092994046
skyvern,trial-027,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.75,0.0,0.875,0.375,15.0,4.0,8.0,0.0,0.0,0.25,0.75,0.0,1.0,1.0,1.0,2.1972245773362196
skyvern,trial-028,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.875,0.125,0.0,0.0,0.0,0.7272727272727273,0.0,0.9090909090909091,0.09090909090909091,15.0,4.0,8.0,0.0,0.0,0.18181818181818182,0.8181818181818182,0.0,1.0,1.0,1.0,2.4849066497880004
skyvern,trial-029,0.0,0.8823529411764706,0.0,0.5882352941176471,0.8823529411764706,13565953.0,0.0,5452595.2,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.35294117647058826,0.0,0.5294117647058824,0.17647058823529413,13.588235294117647,4.294117647058823,8.941176470588236,0.0,0.0,0.11764705882352941,0.35294117647058826,0.0,0.0,0.0,0.0,2.8903717578961645
skyvern,trial-030,0.0,1.0,0.0,0.9166666666666666,1.0,15663105.0,0.0,6291456.0,0.9,0.1,0.0,0.0,0.0,0.8333333333333334,0.0,0.9166666666666666,0.16666666666666666,14.833333333333334,4.083333333333333,8.166666666666666,0.0,0.0,0.16666666666666666,0.75,0.0,1.0,1.0,1.0,2.5649493574615367
