agent,trial,req_rate_hz,iri_median_ms,iri_std_ms,page_dwell_mean_s,page_dwell_std_s,iri_page_to_subres_ms,subresource_burst_ms,req_rate_hz_median,req_rate_hz_cv
autogen_websurfer,trial-001,0.019584075701382923,4.1209999999999996,31435.6247644336,68.0825255,15.990470955664685,37.399,,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-002,0.03265626937639333,874.743,25939.89707165254,76.5549785,19.141941018619207,21149.229333333333,47830.432,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-003,0.0743469880994263,1215.6045,27518.256893795482,69.49396066666667,22.79490836377092,66844.63650000001,18245.791666666668,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-004,0.029859614663344906,46206.428,30841.87292970957,66.9801008,16.449986093099977,107210.318,381.818,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-005,0.023004965491439853,49183.758499999996,30649.405048189758,68.56972379999999,5.219655992221254,85833.26266666666,,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-006,0.020612925865947082,57325.098,32422.902765761955,64.68433166666667,14.062166909805741,41.292,,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-007,0.05054811234835245,1212.966,26432.163217750407,76.36616266666665,10.95812329752586,49344.64771428572,9893.596,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-008,0.028609809516436595,29418.780000000002,28115.986689141548,66.61894516666666,15.944253686836749,66533.35542857142,20.198,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-009,0.02136475804378133,64333.819,32918.2931359754,62.40807083333334,11.573060999593764,47.569,,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-010,0.03412477111236336,22130.636,30081.2605975296,82.0518324,27.721131842372515,25298.5444,87266.906,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-011,0.01763501313148425,69458.9945,37220.20038727765,79.38752240000001,20.51632021418804,35.299,,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-012,0.02198526591448943,68272.937,41718.17279522003,83.38918166666666,13.276671504270556,95284.7904,215.597,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-013,0.01987307251417464,66016.531,41728.58326688305,83.86557566666666,15.84552281069998,55585.571,84786.156,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-014,0.022432701027649885,56829.907,24684.685213423618,59.43703933333334,11.262487225008721,35.024,,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-015,62.96436217101121,31.764,,0.0,0.0,31.764,,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-016,0.013601146291310533,71539.4115,57686.43378130559,110.28482216666667,23.548699212762706,92734.47633333334,,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-017,0.0205108063633227,62008.068,31154.97276520011,73.13218083333334,11.11350050182619,177944.191,,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-018,0.01978423163649444,71995.59000000001,36709.51693864175,80.8724862,13.980845801066172,32.443,71995.59,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-019,0.02289777366114479,50158.299,37213.41154578128,72.78728016666666,13.139572279209691,51207.837999999996,1851.4189999999999,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-020,0.025667654241784455,54175.351,40577.38505935545,77.91907983333333,14.067444688406397,175044.83333333334,3145.356,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-021,0.026769888919305183,51847.595,35414.07253855486,74.71080683333334,20.04154637478401,80929.743,11249.818,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-022,0.007830801618705243,46724.522,261306.25379834496,276.68516866666664,491.1196797280819,508816.9035,10199.1295,0.021675011979135378,5.414096322171311
autogen_websurfer,trial-023,0.014035028939612133,103727.024,57740.60343544939,118.75049733333334,25.606716608061483,225155.3736,3040.756,0.021675011979135378,5.414096322171311
