agent,trial,n_events,duration_s,event_rate_hz,n_pages,n_clicks,n_keydowns,n_mousemoves,n_scrolls,n_app_events,n_inputs,n_focus,n_tab_switches,iei_mean_ms,iei_median_ms,iei_std_ms,iei_p95_ms,iei_burst_ratio,mousemove_ratio,keydown_ratio,scroll_ratio,input_ratio,click_ratio,app_event_ratio,kbd_vs_mouse,S1_subscribe_v1__mousemove_prop,S1_subscribe_v1__keydown_prop,S1_subscribe_v1__input_prop,S1_subscribe_v1__scroll_prop,S1_subscribe_v1__click_prop,S1_subscribe_v1__visited,S2_subscribe_v2__mousemove_prop,S2_subscribe_v2__keydown_prop,S2_subscribe_v2__input_prop,S2_subscribe_v2__scroll_prop,S2_subscribe_v2__click_prop,S2_subscribe_v2__visited,S3_subscribe_v3__mousemove_prop,S3_subscribe_v3__keydown_prop,S3_subscribe_v3__input_prop,S3_subscribe_v3__scroll_prop,S3_subscribe_v3__click_prop,S3_subscribe_v3__visited,S4_scroll_gate__mousemove_prop,S4_scroll_gate__keydown_prop,S4_scroll_gate__input_prop,S4_scroll_gate__scroll_prop,S4_scroll_gate__click_prop,S4_scroll_gate__visited,S5_hover_reveal__mousemove_prop,S5_hover_reveal__keydown_prop,S5_hover_reveal__input_prop,S5_hover_reveal__scroll_prop,S5_hover_reveal__click_prop,S5_hover_reveal__visited,S6_dom_mismatch__mousemove_prop,S6_dom_mismatch__keydown_prop,S6_dom_mismatch__input_prop,S6_dom_mismatch__scroll_prop,S6_dom_mismatch__click_prop,S6_dom_mismatch__visited,S7_delayed_feedback__mousemove_prop,S7_delayed_feedback__keydown_prop,S7_delayed_feedback__input_prop,S7_delayed_feedback__scroll_prop,S7_delayed_feedback__click_prop,S7_delayed_feedback__visited,nonform_keydown_count,nonform_keydown_ratio,focus_to_input_latency_mean_ms,focus_to_input_latency_std_ms,click_hold_mean_ms,click_hold_std_ms,mouse_traj_total_px,mouse_traj_mean_px_per_page,click_x_mean,click_y_mean,click_x_std,click_y_std,n_unique_click_targets,enter_key_count,enter_key_ratio,n_unique_keys,modifier_key_count,modifier_key_ratio,key_entropy,max_scroll_depth_px,scroll_depth_mean_px,n_unique_pages,pages_visited_bitmask,page_dwell_mean_s,page_dwell_std_s,page_dwell_min_s,page_dwell_max_s,n_successful_submits,n_blocked_submits,hover_reveal_correct,dom_mismatch_correct,dom_mismatch_wrong,false_cue_clicks,n_hover_events,n_select_events,delayed_feedback_retry,delayed_feedback_completed,inter_page_gap_mean_ms,inter_page_gap_std_ms,load_to_first_interact_mean_ms,load_to_first_interact_std_ms,nav_via_tab_clicks,agent
autogen_websurfer,trial-001,92,391.14110009765625,0.2352092377329571,6,7,3,9,1,18,3,9,6,4546.712791265443,1.0999755859375,10353.300570407522,29481.799865722656,0.8255813953488372,0.09183673469387756,0.030612244897959183,0.01020408163265306,0.030612244897959183,0.07142857142857142,0.1836734693877551,-0.5,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,1,0.08,0.04,0.04,0.0,0.08,1,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,1,0.125,0.0,0.0,0.0625,0.125,1,0.16666666666666666,0.0,0.0,0.0,0.0,1,0.1,0.0,0.0,0.0,0.1,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,23.266682942708332,0.8082339950032505,12.63751220703125,0.6675120507780733,2090.555169631005,348.4258616051675,855.4285714285714,320.2857142857143,142.41471967796159,206.1202838843655,7,3.0,1.0,1.0,0.0,0.0,-1.4428232973175175e-12,12.0,12.0,6,63,45.12673335774739,13.395807846475552,29.80110009765625,60.283,2,1,1,1,0,2,4,1,0,0,15.983357747395834,15.200244684121262,22889.44999186198,4180.359099144452,3,autogen_websurfer
autogen_websurfer,trial-002,66,285.4316999511719,0.23122869678206892,4,5,2,7,0,13,2,7,4,4677.963931224385,1.099853515625,10343.903842315767,26172.599853515625,0.8032786885245902,0.1,0.02857142857142857,0.0,0.02857142857142857,0.07142857142857142,0.18571428571428572,-0.5555555555555556,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,1,0.08,0.04,0.04,0.0,0.08,1,0.0,0.0,0.0,0.0,0.0,0,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,1,0.16666666666666666,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,40.300048828125,28.991378028648448,12.716593424479166,1.160122602255259,1390.7100828345413,347.6775207086353,851.8,381.8,175.80159271178405,151.52788522248966,5,2.0,1.0,1.0,0.0,0.0,-1.4428232973175175e-12,0.0,0.0,4,27,53.039199951171874,19.374295358583097,37.20080004882813,78.86209985351563,1,1,1,0,0,2,3,0,0,0,13.637451171875,13.352347932726557,23419.67498779297,2695.3126312746053,1,autogen_websurfer
autogen_websurfer,trial-003,72,395.2349001464844,0.18217014735620493,6,3,5,5,0,19,4,4,6,5894.819397883629,3.5,11245.66104385832,29279.109936523433,0.7611940298507462,0.0641025641025641,0.0641025641025641,0.0,0.05128205128205128,0.038461538461538464,0.24358974358974358,0.0,0.041666666666666664,0.125,0.08333333333333333,0.0,0.041666666666666664,1,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,1,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,1,0.1,0.0,0.0,0.0,0.1,1,0.16666666666666666,0.0,0.0,0.0,0.0,1,0.1,0.0,0.0,0.0,0.1,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6204.433349609375,10711.319778968005,12.49993896484375,0.8755113918121384,244.47875521999558,40.7464592033326,697.3333333333334,491.6666666666667,39.25981830489455,88.6359595950387,3,5.0,1.0,1.0,0.0,0.0,-1.4428232973175175e-12,0.0,0.0,6,63,44.710233317057295,24.021860934004927,26.6752998046875,87.555,3,1,1,1,0,2,4,1,0,0,17.591634114583332,18.437741764797412,24690.916625976562,2487.814881090342,0,autogen_websurfer
autogen_websurfer,trial-004,67,316.1711000976562,0.2119105762016377,5,5,2,7,0,13,2,6,5,4938.218753814697,1.2498779296875,10059.35091553816,25302.954980468745,0.796875,0.09722222222222222,0.027777777777777776,0.0,0.027777777777777776,0.06944444444444445,0.18055555555555555,-0.5555555555555556,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,1,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.08695652173913043,1,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,1,0.1,0.0,0.0,0.0,0.1,1,0.16666666666666666,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,10161.450073242188,14331.85240765,12.716715494791666,0.832886472736463,902.5037547859829,180.50075095719657,761.6,451.2,122.23256521893009,15.238110119040353,4,2.0,1.0,1.0,0.0,0.0,-1.4428232973175175e-12,0.0,0.0,5,31,44.476839990234375,16.392788557417592,27.25610009765625,63.23,1,1,1,0,0,2,3,0,0,0,13.610009765625,13.071761544653501,22426.000048828126,2387.383264508505,0,autogen_websurfer
autogen_websurfer,trial-005,57,321.2804001464844,0.177415117679172,5,4,2,5,0,11,2,5,5,6176.751924954928,1.4000244140625,12378.6785743555,33595.530151367166,0.7884615384615384,0.08064516129032258,0.03225806451612903,0.0,0.03225806451612903,0.06451612903225806,0.1774193548387097,-0.42857142857142855,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,1,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,1,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,1,0.1,0.0,0.0,0.0,0.1,1,0.16666666666666666,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,24.4500732421875,5.161914029360097,12.7999267578125,1.2027786301254255,375.487088408658,75.0974176817316,789.0,449.25,122.13107712617621,16.859715300087366,4,2.0,1.0,1.0,0.0,0.0,-1.4428232973175175e-12,0.0,0.0,5,31,43.583340039062506,7.594024996269618,36.37989990234375,52.02990014648437,1,1,0,0,0,2,2,0,0,0,14.119970703125,13.845346762099089,24914.23994140625,2913.3819727774635,0,autogen_websurfer
autogen_websurfer,trial-006,78,359.02989990234374,0.21725210078942178,6,5,3,7,0,18,3,6,6,4915.978080854024,1.39990234375,9932.333518005482,26624.080029296863,0.7945205479452054,0.08333333333333333,0.03571428571428571,0.0,0.03571428571428571,0.05952380952380952,0.21428571428571427,-0.4,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,1,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.08695652173913043,1,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,1,0.1,0.0,0.0,0.0,0.1,1,0.16666666666666666,0.0,0.0,0.0,0.0,1,0.1,0.0,0.0,0.0,0.1,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,6193.999918619792,10688.572383857716,12.5,0.6692813402432239,823.1537555389299,137.19229258982165,775.2,477.8,110.17803773892508,65.4881668700537,5,3.0,1.0,1.0,0.0,0.0,-1.4428232973175175e-12,0.0,0.0,6,63,39.05219999186198,13.290323125641487,20.7212998046875,55.51080004882812,2,1,1,1,0,2,4,1,0,0,13.641621907552084,12.908424153363065,25565.18330891927,2654.566171058282,0,autogen_websurfer
autogen_websurfer,trial-007,86,441.022,0.19500160989701196,6,6,4,8,1,19,3,6,6,5376.665854849466,1.199951171875,10506.618096119435,28130.549951171877,0.7804878048780488,0.08695652173913043,0.043478260869565216,0.010869565217391304,0.03260869565217391,0.06521739130434782,0.20652173913043478,-0.3333333333333333,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.0,0.05555555555555555,1,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.08695652173913043,1,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,1,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,1,0.16666666666666666,0.0,0.0,0.0,0.0,1,0.1,0.0,0.0,0.0,0.1,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,13250.166666666666,11478.825681287486,12.657191685267858,0.8848317038518819,597.7975342105467,99.63292236842445,754.6666666666666,472.6666666666667,110.639354059334,61.294915504197135,5,4.0,1.0,1.0,0.0,0.0,-1.4428232973175175e-12,12.0,12.0,6,63,51.92188338216146,12.420159003804494,28.211199951171874,60.4515,2,2,1,1,0,2,4,1,0,0,13.116658528645834,12.64309806985529,24378.93330891927,6148.386372137697,0,autogen_websurfer
autogen_websurfer,trial-008,89,382.07539990234375,0.23293831537635734,6,7,3,9,0,19,3,7,6,4601.742166909827,1.300048828125,9368.677687634838,24903.3900390625,0.7951807228915663,0.09473684210526316,0.031578947368421054,0.0,0.031578947368421054,0.07368421052631578,0.2,-0.5,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091,1,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,1,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091,1,0.1,0.0,0.0,0.0,0.1,1,0.16666666666666666,0.0,0.0,0.0,0.0,1,0.1,0.0,0.0,0.0,0.1,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,12760.566650390625,11173.030838696917,12.612548828125,0.9280145161948554,1063.1620887275924,177.19368145459873,774.2857142857143,472.14285714285717,113.5572018642503,54.33976006396719,6,3.0,1.0,1.0,0.0,0.0,-1.4428232973175175e-12,0.0,0.0,6,63,45.806866658528655,15.578694542325806,30.688800048828124,69.83109985351562,2,2,1,1,0,2,4,1,0,0,13.699991861979166,12.956175893950185,20757.016682942707,3044.8876346006205,0,autogen_websurfer
autogen_websurfer,trial-009,76,355.90889990234376,0.21353779020657618,6,6,2,8,0,15,2,6,6,5082.582850864956,1.050048828125,10273.31226459248,27997.900146484375,0.7857142857142857,0.0975609756097561,0.024390243902439025,0.0,0.024390243902439025,0.07317073170731707,0.18292682926829268,-0.6,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091,1,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,1,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,1,0.1,0.0,0.0,0.0,0.1,1,0.16666666666666666,0.0,0.0,0.0,0.0,1,0.1,0.0,0.0,0.0,0.1,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8048.85009765625,11352.528592218505,12.55712890625,0.7114856828279833,724.4954215973204,120.74923693288673,754.6666666666666,474.6666666666667,110.639354059334,59.07509345457412,5,2.0,1.0,1.0,0.0,0.0,-1.4428232973175175e-12,0.0,0.0,6,63,40.63854992675781,11.13075217193344,25.44,54.45359985351563,1,1,1,1,0,2,4,1,0,0,13.466634114583334,13.000275381101472,21697.683349609375,3877.0513118651525,0,autogen_websurfer
autogen_websurfer,trial-010,71,380.1768000488281,0.18675521491811467,5,6,2,8,0,13,2,6,5,5847.373850661058,1.300048828125,11353.6451863286,30065.880029296874,0.7846153846153846,0.10526315789473684,0.02631578947368421,0.0,0.02631578947368421,0.07894736842105263,0.17105263157894737,-0.6,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091,1,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.08695652173913043,1,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,1,0.1,0.0,0.0,0.0,0.1,1,0.16666666666666666,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,24477.199951171875,82.73149339882606,12.742850167410714,0.9413841921836357,1142.5120879746453,228.50241759492906,743.3333333333334,452.5,118.12987203356596,13.996428115772966,4,2.0,1.0,1.0,0.0,0.0,-1.4428232973175175e-12,0.0,0.0,5,31,54.009,25.572769610234293,24.67939990234375,78.87069995117187,1,1,1,0,0,2,3,0,0,0,13.3400390625,12.827405261614235,27970.320068359375,2101.0756179062573,0,autogen_websurfer
