page,n_events_mean,n_events_std,duration_s_mean,duration_s_std,event_density_mean,event_density_std,first_interact_ms_mean,first_interact_ms_std,n_clicks_mean,n_clicks_std,n_keydowns_mean,n_keydowns_std,n_mousemoves_mean,n_mousemoves_std,n_scrolls_mean,n_scrolls_std,n_app_events_mean,n_app_events_std,mouse_traj_px_mean,mouse_traj_px_std,click_hold_mean_ms_mean,click_hold_mean_ms_std,focus_react_mean_ms_mean,focus_react_mean_ms_std,scroll_depth_px_mean,scroll_depth_px_std,iei_mean_ms_mean,iei_mean_ms_std
Delayed Feedback — UX Behavior,10.0,,24.55789990234375,,0.4072009430678404,,23710.7998046875,,1.0,,0.0,,1.0,,0.0,,1.0,,0.0,,84.0,,,,0.0,,2728.6555447048613,
S1-subscribe-v1,104.03333333333333,11.68105844676678,32.76512666015625,27.65424965613818,4.847149993613523,2.81660468012496,31458.72666829427,27641.294350913122,0.9666666666666667,0.18257418583505536,20.833333333333332,2.8416038857796777,0.9666666666666667,0.18257418583505536,0.0,0.0,24.766666666666666,2.9087659823763556,0.0,0.0,84.84482758620689,0.9575358214938764,12.576643880208334,6.665261152429577,0.0,0.0,323.0790174325017,279.2109040372699
S2-subscribe-v2,104.6,11.807653859051445,36.18484997558594,46.13562848775918,5.321075264312176,3.1936566382176044,34853.53998209636,46136.92431910173,1.0,0.0,20.9,2.9519134647628613,1.0,0.0,0.0,0.0,24.9,2.9519134647628613,0.0,0.0,84.83335774739584,1.0844657834991185,6.759993489583334,2.8857975897061463,0.0,0.0,365.7254033053366,485.3651532278288
S3-subscribe-v3,104.06666666666666,11.77646200992745,43.601373339843754,54.69414066838076,5.060240354047095,2.991211972375211,42265.74336751302,54705.633856498614,1.0,0.0,20.766666666666666,2.9441155024818624,1.0,0.0,0.0,0.0,24.766666666666666,2.9441155024818624,0.0,0.0,84.4733642578125,0.7234736484318687,6.743351236979167,2.8172787299574673,0.0,0.0,440.2329289739192,570.4028323864824
S4-scroll-gate,15.0,0.0,50.94382668457031,60.34395001089621,0.6561810348467922,0.4044136205505109,49979.86335449219,60342.51968284921,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,83.31997884114584,0.5641092377187447,,,0.0,0.0,3638.844763183594,4310.282143635443
S5-hover-reveal,10.0,0.0,37.47374665527344,43.97868805500621,0.4732000223533474,0.23861622113341235,36618.38999023438,43981.704130429556,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,82.90001627604167,0.47488585697052377,,,0.0,0.0,4163.749628363715,4886.52089500069
S6-dom-mismatch,10.333333333333334,1.8257418583505536,32.927663313802086,47.8056682075532,0.5542237043796482,0.2508358054702849,26512.33663736979,26221.79819089572,1.0333333333333334,0.18257418583505539,0.0,0.0,1.0333333333333334,0.18257418583505539,0.0,0.0,2.066666666666667,0.36514837167011077,0.0,0.0,83.00000406901042,0.7687779299339654,,,0.0,0.0,3123.3832338686343,3131.194064489094
