page,app_event,blur,change,click,focus,input,keydown,keyup,mousedown,mousemove,mouseup,page,scroll,visibility
Delayed Feedback — UX Behavior,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.0,0.1
S1-subscribe-v1,0.2379503440215432,0.019052176838258193,0.028767659196781224,0.009336694479735156,0.019052176838258193,0.21927695506207287,0.19984599034502679,0.19984599034502679,0.009336694479735156,0.009336694479735156,0.009336694479735156,0.029146447075569105,0.0,0.009715482358523035
S2-subscribe-v2,0.2379219908089959,0.01932481470560652,0.028987222058409777,0.00966240735280326,0.01932481470560652,0.2185971761033894,0.1992723613977829,0.1992723613977829,0.00966240735280326,0.00966240735280326,0.00966240735280326,0.028987222058409777,0.0,0.00966240735280326
S3-subscribe-v3,0.23786116910781294,0.01942212942749929,0.029133194141248934,0.009711064713749645,0.01942212942749929,0.21843903968031367,0.19901691025281437,0.19901691025281437,0.009711064713749645,0.009711064713749645,0.009711064713749645,0.029133194141248934,0.0,0.009711064713749645
S4-scroll-gate,0.3333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
S5-hover-reveal,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.0,0.1
S6-dom-mismatch,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.0,0.1
