trace,n_requests,n_pages,n_collect_posts,duration_s,req_rate_hz,iri_mean_ms,iri_median_ms,iri_std_ms,proc_mean_ms,proc_max_ms,page_dwell_mean_s,page_dwell_max_s
trial-001,25,7,14,114.07807,0.21914816756629912,4753.252916666666,30.398,8054.9998026649255,1.5086,15.173,19.004848833333334,23.651676
trial-002,31,7,15,212.845996,0.1456452110097481,7094.866533333334,51.976,15831.016969009035,0.7690000000000003,15.167,33.694162166666665,91.203178
trial-003,26,7,17,151.15174,0.17201257491313035,6046.0696,29.589000000000002,14936.971937931905,1.6062692307692308,18.707,25.18340216666667,68.559053
trial-004,22,7,13,85.527012,0.25722867531020494,4072.7148571428575,48.908,8240.008482967285,1.7364999999999997,29.92,14.243056833333334,34.6133
trial-005,24,7,15,271.054843,0.08854296693012786,11784.99317391304,29.834,26430.817776808697,0.913125,14.037,45.1703665,101.642461
trial-006,25,7,15,151.769888,0.16472305758043387,6323.745333333333,32.4435,12592.045148342879,0.91648,14.344,22.894986000000003,55.023273
trial-007,40,7,23,834.645279,0.047924550712039674,21401.160999999996,35.193000000000005,40675.3351023492,1.1530999999999998,14.65,102.85087533333332,269.796115
trial-008,23,7,14,149.872875,0.1534633935593749,6812.403409090908,29.560499999999998,13409.506844255253,1.568,14.699,24.97271566666667,47.415631
trial-009,26,7,14,315.692996,0.08235849489673189,12627.719840000002,31.511999999999997,29317.695155259014,0.32984615384615384,0.722,52.60923366666666,126.363961
trial-010,24,7,15,186.261675,0.1288509834349981,8098.333695652174,30.557000000000002,23487.10145070638,0.9320833333333333,14.668,31.0382745,107.855522
trial-011,103,7,18,239.761135,0.42959422927323065,2350.5993627450976,67.79749999999999,10526.444147677114,0.5931553398058251,14.475,34.28835166666667,95.608913
trial-012,26,7,17,263.438656,0.09869470333161737,10537.546240000001,23.649,33579.19449769586,2.047192307692308,18.086,43.902667166666674,166.712926
trial-013,29,7,17,356.230615,0.08140793850635213,12722.521964285714,28.371499999999997,28498.056808206275,1.3157241379310345,14.859,59.36752466666667,173.431712
trial-014,28,7,18,156.024458,0.1794590435302137,5778.683629629631,22.076999999999998,11702.11356345666,1.9640714285714291,17.165,26.00000833333333,53.202874
trial-015,27,7,18,121.402838,0.22240007272317636,4669.339923076923,24.146500000000003,8744.94895131489,1.916518518518518,14.629,20.229296,24.497916
trial-016,26,7,17,346.224528,0.07509577715418243,13848.981120000002,27.637999999999998,36893.69520201597,2.0408076923076925,15.297,57.69934383333334,149.46493
trial-017,26,7,17,241.870905,0.10749535997312286,9674.8362,25.097,22702.558960964107,2.016230769230769,15.216,40.3065645,81.713895
trial-018,27,7,18,168.824806,0.15992910425734475,6493.2617692307695,26.005,16207.811742015087,1.939148148148148,14.894,28.130339666666668,77.121665
trial-019,26,7,17,251.884373,0.10322196526260881,10075.374920000002,22.823,23793.6816921695,2.0126153846153843,15.36,41.976194,86.426374
trial-020,28,7,18,666.034037,0.04203989352574184,24667.927296296297,25.497,66631.09272164476,1.8281785714285712,14.552,110.547904,248.814153
trial-021,27,7,18,110.513187,0.24431473503700513,4250.507192307692,21.36,7936.046634287916,1.9310370370370369,14.746,18.4139875,21.582535
trial-022,26,7,17,108.59098,0.239430567805908,4343.6392,23.379,8027.458874488857,1.4490769230769232,14.801,18.0941195,21.805651
trial-023,27,7,18,136.758427,0.19742841879864556,5259.9394999999995,27.1565,12932.633237741828,1.9391851851851856,14.732,22.786338833333332,60.972802
trial-024,26,7,17,288.978585,0.0899720648850156,11559.143399999999,26.115,27459.389150702526,2.275961538461538,22.221,48.156868833333334,99.954075
trial-025,26,7,17,198.553738,0.13094691775583694,7942.149519999999,23.837,20238.12686824931,1.4683846153846152,14.469,33.08779516666667,96.491356
trial-026,28,7,18,417.484427,0.06706836995383303,15462.386185185185,24.613,43653.46108729289,1.8763571428571428,15.045,69.57631883333333,219.8659
trial-027,27,7,18,121.388619,0.22242612381972973,4668.793038461538,23.046,11924.510335450726,1.9584444444444444,15.146,20.226224666666667,57.618909
trial-028,27,7,17,180.174397,0.14985480983738217,6929.7845,26.6385,16568.764389802982,1.4183333333333332,14.864,29.227263833333335,62.510743
trial-029,29,7,18,194.145228,0.14937271597528012,6933.758142857142,25.0605,17916.043778468957,1.7858965517241379,14.549,32.22341733333334,89.482919
trial-030,26,7,17,109.000913,0.23853011212851033,4360.03652,27.849,7908.8416892398345,1.5178846153846155,16.211,18.161067666666668,20.343598
