agent_label,req_rate_hz,iri_median_ms,iri_std_ms,page_dwell_mean_s,page_dwell_std_s,iri_page_to_subres_ms,subresource_burst_ms,req_rate_hz_median,req_rate_hz_cv
0,0.0195840757013829,4.121,31435.6247644336,68.0825255,15.990470955664684,37.399,620.7629999999999,0.0216750119791353,5.414096322171311
0,0.0326562693763933,874.743,25939.89707165254,76.5549785,19.141941018619207,21149.229333333333,47830.432,0.0216750119791353,5.414096322171311
0,0.0743469880994263,1215.6045,27518.25689379548,69.49396066666667,22.79490836377092,66844.63650000001,18245.791666666668,0.0216750119791353,5.414096322171311
0,0.0298596146633449,46206.428,30841.87292970957,66.9801008,16.449986093099977,107210.318,381.818,0.0216750119791353,5.414096322171311
0,0.0230049654914398,49183.7585,30649.40504818976,68.56972379999999,5.219655992221254,85833.26266666666,620.7629999999999,0.0216750119791353,5.414096322171311
0,0.020612925865947,57325.098,32422.902765761955,64.68433166666667,14.06216690980574,41.292,620.7629999999999,0.0216750119791353,5.414096322171311
0,0.0505481123483524,1212.966,26432.163217750407,76.36616266666665,10.95812329752586,49344.64771428572,9893.596,0.0216750119791353,5.414096322171311
0,0.0286098095164365,29418.78,28115.986689141548,66.61894516666666,15.944253686836747,66533.35542857142,20.198,0.0216750119791353,5.414096322171311
0,0.0213647580437813,64333.819,32918.2931359754,62.40807083333334,11.573060999593764,47.569,620.7629999999999,0.0216750119791353,5.414096322171311
0,0.0341247711123633,22130.636,30081.2605975296,82.0518324,27.721131842372515,25298.5444,87266.906,0.0216750119791353,5.414096322171311
0,0.0176350131314842,69458.9945,37220.20038727765,79.38752240000001,20.51632021418804,35.299,620.7629999999999,0.0216750119791353,5.414096322171311
0,0.0219852659144894,68272.937,41718.17279522003,83.38918166666666,13.276671504270556,95284.7904,215.597,0.0216750119791353,5.414096322171311
0,0.0198730725141746,66016.531,41728.58326688305,83.86557566666666,15.84552281069998,55585.571,84786.156,0.0216750119791353,5.414096322171311
0,0.0224327010276498,56829.907,24684.685213423614,59.43703933333334,11.26248722500872,35.024,620.7629999999999,0.0216750119791353,5.414096322171311
0,62.96436217101121,31.764,7651.203147998478,0.0,0.0,31.764,620.7629999999999,0.0216750119791353,5.414096322171311
0,0.0136011462913105,71539.4115,57686.43378130559,110.28482216666669,23.548699212762703,92734.47633333334,620.7629999999999,0.0216750119791353,5.414096322171311
0,0.0205108063633227,62008.068,31154.97276520011,73.13218083333334,11.11350050182619,177944.191,620.7629999999999,0.0216750119791353,5.414096322171311
0,0.0197842316364944,71995.59000000001,36709.51693864175,80.8724862,13.980845801066172,32.443,71995.59,0.0216750119791353,5.414096322171311
0,0.0228977736611447,50158.299,37213.41154578128,72.78728016666666,13.139572279209691,51207.838,1851.419,0.0216750119791353,5.414096322171311
0,0.0256676542417844,54175.351,40577.38505935545,77.91907983333333,14.067444688406397,175044.83333333334,3145.356,0.0216750119791353,5.414096322171311
0,0.0267698889193051,51847.595,35414.07253855486,74.71080683333334,20.04154637478401,80929.743,11249.818,0.0216750119791353,5.414096322171311
0,0.0078308016187052,46724.522,261306.25379834496,276.68516866666664,491.1196797280819,508816.9035,10199.1295,0.0216750119791353,5.414096322171311
0,0.0140350289396121,103727.024,57740.60343544939,118.75049733333334,25.606716608061483,225155.3736,3040.756,0.0216750119791353,5.414096322171311
0,0.017903666092975,69327.401,29491.97358613353,74.47264299999999,9.71653259341965,32.381,620.7629999999999,0.0216750119791353,5.414096322171311
0,0.0140149499900802,101493.2675,51926.449892721335,107.028566,28.05248635476851,30.761,10728.515,0.0216750119791353,5.414096322171311
0,0.0273319619703627,41710.04,32723.153543523673,58.5395224,22.468333220784444,20245.015333333333,620.7629999999999,0.0216750119791353,5.414096322171311
0,0.0254973345134307,43048.443,25649.096066363218,52.29304783333333,17.93470701952365,31.686,620.7629999999999,0.0216750119791353,5.414096322171311
0,0.0196500358311853,64283.9805,29735.090919335067,76.33573866666666,20.122348694595985,43193.94766666667,620.7629999999999,0.0216750119791353,5.414096322171311
