agent_label,f1_frac_kyber768,f1_frac_mlkem768,f2_frac_firefox_ja4,f2_frac_h2,f2_frac_pq,f3_mean_ak_window,f3_frac_win_firefox,f3_mean_init_window,f4_frac_s3_w110,f4_frac_s3_w220,f5_frac_s5_w110,f5_frac_s5_w220,f5_frac_s5_w256,f6_stream3_coverage,f6_stream5_coverage,f7_ja3_diversity,f7_ip_diversity,f8_mean_cipher_count,f8_mean_curve_count,f8_mean_sig_count,f9_h2_pseudo_order,f9_ak_pseudo_order,f10_frac_ext16,f10_frac_ext17,f10_frac_firefox_ext,f11_grease_cipher,f11_grease_curve,f11_grease_ver,f12_log_n_requests
1,0.8125,0.375,0.0,0.9375,0.9375,154782925.66666666,0.125,6571076.266666667,0.0,1.0,0.0,1.0,0.0,0.5,0.4375,0.25,0.4375,15.4375,5.125,9.0,0.0,0.0,0.5625,0.0,0.0,1.0,1.0,1.0,2.833213344056216
1,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
1,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
1,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
1,1.0,0.1,0.0,1.0,1.0,14929101.8,0.0,6501171.2,0.0,1.0,0.0,1.0,0.0,0.8,0.7,0.2,0.2,14.9,4.3,8.2,0.0,0.0,0.9,0.0,0.0,1.0,1.0,1.0,2.3978952727983707
1,0.8235294117647058,0.2941176470588235,0.0,0.8235294117647058,0.8235294117647058,13041665.0,0.0,7040438.857142857,0.0,1.0,0.0,1.0,0.0,0.4705882352941176,0.4117647058823529,0.2352941176470588,0.4705882352941176,15.058823529411764,4.823529411764706,8.823529411764707,0.0,0.0,0.5294117647058824,0.0,0.0,1.0,1.0,1.0,2.8903717578961645
1,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
1,1.0,0.25,0.0,1.0,1.0,13828097.0,0.0,6815744.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.5833333333333334,0.1666666666666666,0.3333333333333333,14.75,4.75,8.5,0.0,0.0,0.75,0.0,0.0,1.0,1.0,1.0,2.5649493574615367
1,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
1,0.0,0.1176470588235294,0.0,0.1058823529411764,0.1176470588235294,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.0941176470588235,0.0823529411764705,0.0470588235294117,0.0588235294117647,19.31764705882353,3.2,11.552941176470588,-1.0,0.0,0.1058823529411764,0.0,0.0,0.0,0.0,0.0,4.454347296253507
1,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
1,0.0,0.75,0.0,0.75,0.75,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.5833333333333334,0.1666666666666666,0.1666666666666666,22.0,5.0,10.75,0.0,0.0,0.75,0.0,0.0,1.0,1.0,1.0,2.5649493574615367
