agent_label,req_rate_hz,iri_median_ms,iri_std_ms,page_dwell_mean_s,page_dwell_std_s,iri_page_to_subres_ms,subresource_burst_ms,req_rate_hz_median,req_rate_hz_cv
3,0.0903800267732753,8403.28,11994.916823945694,14.752522,11.642733405524751,30.926,563.4449999999999,0.0909340442223229,0.2594338413197614
0,0.0196500358311853,64283.9805,29735.090919335067,76.33573866666666,20.122348694595985,43193.94766666667,563.4449999999999,0.0216750119791353,5.414096322171311
1,0.0150148896654856,27361.856,101612.87933722616,110.547904,108.24519769886544,53.562,190.079,0.0560801989128346,0.9253304433967846
1,0.0357345403921089,20957.8865,35744.21216863374,41.976194,33.5424790189632,112.45,261.495,0.0560801989128346,0.9253304433967846
2,0.1002620687551397,13743.68,5573.2770695341915,13.298482166666668,2.6898219020855945,33.02,563.4449999999999,0.0982373247983834,0.0855151565918412
4,0.0367689113265859,32051.307,38183.14470175685,32.410856,14.324527091133897,359.54900000000004,563.4449999999999,0.0453001298809707,1.9147340502091368
3,0.1006137618340788,12435.576,8566.780942091515,14.908497333333337,6.349102967672352,18035.5045,563.4449999999999,0.0909340442223229,0.2594338413197614
5,0.0327755467335655,33695.722,28186.919871706217,50.85091883333334,22.42311178549492,4553.711,26011.564,0.0267408265606834,0.2860558998772827
0,0.0195840757013829,4.121,31435.6247644336,68.0825255,15.990470955664684,37.399,563.4449999999999,0.0216750119791353,5.414096322171311
3,0.0928381552439632,10237.5895,8418.419115664998,16.157149999999998,11.610353764894317,10914.552500000002,563.4449999999999,0.0909340442223229,0.2594338413197614
0,0.020612925865947,57325.098,32422.902765761955,64.68433166666667,14.06216690980574,41.292,563.4449999999999,0.0216750119791353,5.414096322171311
0,0.0219852659144894,68272.937,41718.17279522003,83.38918166666666,13.276671504270556,95284.7904,215.597,0.0216750119791353,5.414096322171311
1,0.0825942630428684,16954.27,9141.763518200753,18.161067666666668,1.596340315916711,117.599,112.972,0.0560801989128346,0.9253304433967846
1,0.0595630403736884,10787.008999999998,23106.173289815295,25.18340216666667,22.302510869320074,55.032,183.929,0.0560801989128346,0.9253304433967846
0,0.0224327010276498,56829.907,24684.685213423614,59.43703933333334,11.26248722500872,35.024,563.4449999999999,0.0216750119791353,5.414096322171311
4,0.0458583348091649,19076.5795,21109.036884483,32.70943016666667,17.647030693077944,115.082,872.482,0.0453001298809707,1.9147340502091368
