agent_label,req_rate_hz,iri_median_ms,iri_std_ms,page_dwell_mean_s,page_dwell_std_s,iri_page_to_subres_ms,subresource_burst_ms,req_rate_hz_median,req_rate_hz_cv,n_requests,n_nav,n_sub,nav_order_stability,n_unique_nav_hashes,n_headers_mean,n_headers_std,sf_site_none_rate,sf_violation_rate,sf_site_mode,headless_rate,ch_incoherence_rate,ch_mobile_matches_rate,ch_platform_matches_rate,ch_brand_count_mode,accept_lang_rate,has_priority_rate,has_sec_ch_ua_rate,has_upgrade_ins_rate,has_connection_rate,has_cache_control_rate,ua_family_mode,ua_os_mode,ua_version_mode,ua_version_n_distinct,ua_family_n_distinct,priority_correct_rate,has_nonstandard_rate,n_nonstandard_distinct,ns_hdr_X-Requested-With,ns_hdr_Pragma,ns_hdr_Cf-Ew-Via,ns_hdr_Keep-Alive,ns_hdr_Accept-Charset,ns_hdr_X-Envoy-Expected-Rq-Timeout-Ms,ns_hdr_X-Forwarded-Proto,ns_hdr_Signature,ns_hdr_From,ns_hdr_Cf-Ray,ns_hdr_Cf-Visitor,ns_hdr_Amp-Cache-Transform,ns_hdr_Cf-Worker,ns_hdr_Sec-Gpc,ns_hdr_X-Request-Id,ns_hdr_Signature-Input,ns_hdr_Cdn-Loop,ns_hdr_Signature-Agent,f1_frac_kyber768,f1_frac_mlkem768,f2_frac_firefox_ja4,f2_frac_h2,f2_frac_pq,f3_mean_ak_window,f3_frac_win_firefox,f3_mean_init_window,f4_frac_s3_w110,f4_frac_s3_w220,f5_frac_s5_w110,f5_frac_s5_w220,f5_frac_s5_w256,f6_stream3_coverage,f6_stream5_coverage,f7_ja3_diversity,f7_ip_diversity,f8_mean_cipher_count,f8_mean_curve_count,f8_mean_sig_count,f9_h2_pseudo_order,f9_ak_pseudo_order,f10_frac_ext16,f10_frac_ext17,f10_frac_firefox_ext,f11_grease_cipher,f11_grease_curve,f11_grease_ver,f12_log_n_requests,n_events,duration_s,event_rate_hz,n_pages,n_clicks,n_keydowns,n_mousemoves,n_scrolls,n_app_events,n_inputs,n_focus,n_tab_switches,iei_mean_ms,iei_median_ms,iei_std_ms,iei_p95_ms,iei_burst_ratio,mousemove_ratio,keydown_ratio,scroll_ratio,input_ratio,click_ratio,app_event_ratio,kbd_vs_mouse,S1_subscribe_v1__mousemove_prop,S1_subscribe_v1__keydown_prop,S1_subscribe_v1__input_prop,S1_subscribe_v1__click_prop,S1_subscribe_v1__visited,S2_subscribe_v2__mousemove_prop,S2_subscribe_v2__keydown_prop,S2_subscribe_v2__input_prop,S2_subscribe_v2__click_prop,S2_subscribe_v2__visited,S3_subscribe_v3__mousemove_prop,S3_subscribe_v3__keydown_prop,S3_subscribe_v3__input_prop,S3_subscribe_v3__click_prop,S3_subscribe_v3__visited,S4_scroll_gate__mousemove_prop,S4_scroll_gate__keydown_prop,S4_scroll_gate__scroll_prop,S4_scroll_gate__click_prop,S4_scroll_gate__visited,S5_hover_reveal__mousemove_prop,S5_hover_reveal__keydown_prop,S5_hover_reveal__click_prop,S5_hover_reveal__visited,S6_dom_mismatch__mousemove_prop,S6_dom_mismatch__keydown_prop,S6_dom_mismatch__click_prop,S6_dom_mismatch__visited,S7_delayed_feedback__mousemove_prop,S7_delayed_feedback__click_prop,S7_delayed_feedback__visited,nonform_keydown_count,nonform_keydown_ratio,focus_to_input_latency_mean_ms,focus_to_input_latency_std_ms,click_hold_mean_ms,click_hold_std_ms,mouse_traj_total_px,mouse_traj_mean_px_per_page,click_x_mean,click_y_mean,click_x_std,click_y_std,n_unique_click_targets,enter_key_count,enter_key_ratio,n_unique_keys,modifier_key_count,modifier_key_ratio,key_entropy,max_scroll_depth_px,scroll_depth_mean_px,n_unique_pages,pages_visited_bitmask,page_dwell_mean_s_beh,page_dwell_std_s_beh,page_dwell_min_s,page_dwell_max_s,n_successful_submits,n_blocked_submits,hover_reveal_correct,dom_mismatch_correct,dom_mismatch_wrong,false_cue_clicks,n_hover_events,n_select_events,delayed_feedback_completed,inter_page_gap_mean_ms,inter_page_gap_std_ms,load_to_first_interact_mean_ms,load_to_first_interact_std_ms,nav_via_tab_clicks
3,0.0903800267732753,8403.28,11994.916823945694,14.752522,11.642733405524751,30.926,563.4449999999999,0.0909340442223229,0.2594338413197614,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,0.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,2,0,147.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196,299,84.5565,3.536097165800382,6,8,60,11,2,68,48,5,6,322.28664159410783,0.60009765625,1263.2078328015252,3853.694995117184,0.931297709923664,0.0360655737704918,0.1967213114754098,0.0065573770491803,0.1573770491803278,0.0262295081967213,0.2229508196721311,0.6901408450704225,0.0120481927710843,0.2409638554216867,0.1927710843373494,0.0120481927710843,1,0.0120481927710843,0.2409638554216867,0.1927710843373494,0.0120481927710843,1,0.0120481927710843,0.2409638554216867,0.1927710843373494,0.0120481927710843,1,0.1515151515151515,0.0,0.0606060606060606,0.1212121212121212,1,0.1666666666666666,0.0,0.0,1,0.0909090909090909,0.0,0.0909090909090909,1,0.0,0.0,0,0,0.0,48.699951171875,3.961091898179299,0.7555338541666666,0.4952370613243131,984.6725807053092,164.11209678421818,585.75,492.75,129.32102911525476,102.79765144621322,4,3.0,0.05,16.0,6.0,0.1,3.8841837197561055,12.0,12.0,6,63,10.893333374023436,11.675533497676438,4.22560009765625,34.4375,2,0,1,1,0,4,6,1,0,11.950032552083334,11.690895874394824,3795.88330078125,2528.537192420638,0
0,0.0196500358311853,64283.9805,29735.090919335067,76.33573866666666,20.122348694595985,43193.94766666667,563.4449999999999,0.0216750119791353,5.414096322171311,9,7,1,0.1428571428571428,7,11.0,2.6457513110645907,0.7777777777777778,0.1111111111111111,0,0.8888888888888888,0.8888888888888888,1.0,1.0,3,0.0,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.0,1,3,122.0,2,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.7777777777777778,0.6666666666666666,0.2222222222222222,0.2222222222222222,18.11111111111111,4.666666666666667,9.333333333333334,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,1.0,1.0,2.302585092994046,85,517.7821999511718,0.1641616880766,7,6,3,7,0,21,3,7,6,6634.905129457132,1.9000244140625,14204.71471156262,39694.749890136714,0.7692307692307693,0.0760869565217391,0.0326086956521739,0.0,0.0326086956521739,0.0652173913043478,0.2282608695652173,-0.4,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555,1,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,1,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555,1,0.1,0.0,0.0,0.1,1,0.1666666666666666,0.0,0.0,1,0.0909090909090909,0.0,0.0909090909090909,1,0.1,0.1,1,0,0.0,17.433268229166668,2.417331424629358,12.383341471354166,0.5844293215522122,418.14375553200176,59.73482221885739,805.8333333333334,484.0,94.3915603571986,60.89334939055332,6,3.0,1.0,1.0,0.0,0.0,-1.4428232973175177e-12,0.0,0.0,7,127,58.55865715680803,19.119235359034477,39.685300048828125,90.98710009765624,2,2,1,1,0,2,4,1,1,17.933349609375,19.49118739679573,22582.08576311384,11653.4924983833,0
1,0.0150148896654856,27361.856,101612.87933722616,110.547904,108.24519769886544,53.562,190.079,0.0560801989128346,0.9253304433967846,10,7,2,0.1428571428571428,7,11.8,0.6324555320336758,0.7,0.8,0,0.0,0.1,0.9,1.0,2,1.0,0.9,0.9,0.8,0.1,0.1,2,0,147.0,2,2,0.8888888888888888,0.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.9,0.9,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8,0.7,0.2,0.2,15.4,4.0,8.4,0.0,0.0,0.9,0.0,0.0,1.0,1.0,1.0,2.3978952727983707,320,635.9398000488281,0.5031922832561039,6,6,57,6,1,78,63,7,6,2328.6135522192653,2.199951171875,21695.075549026315,139.53999023437183,0.9010989010989012,0.0184049079754601,0.1748466257668711,0.0030674846625766,0.1932515337423312,0.0184049079754601,0.2392638036809816,0.8095238095238095,0.0103092783505154,0.1958762886597938,0.2164948453608247,0.0103092783505154,1,0.0103092783505154,0.1958762886597938,0.2164948453608247,0.0103092783505154,1,0.0103092783505154,0.1958762886597938,0.2164948453608247,0.0103092783505154,1,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,1,0.1,0.0,0.1,1,0.1,0.0,0.1,1,0.0,0.0,0,0,0.0,8.933349609375,1.7925618526528997,83.66670735677083,0.6976313197461363,667.8655698580193,111.31092830966988,1044.3333333333333,527.8333333333334,96.10341651921988,108.15991247530977,6,0.0,0.0,16.0,6.0,0.1052631578947368,3.813631241452722,0.0,0.0,6,63,1.0848500162760415,0.2356681243569032,0.8405,1.300699951171875,2,0,1,1,0,1,3,1,0,18.19997151692708,17.401079491827304,109390.24995930988,108111.49171752042,0
1,0.0357345403921089,20957.8865,35744.21216863374,41.976194,33.5424790189632,112.45,261.495,0.0560801989128346,0.9253304433967846,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,2,0,147.0,1,1,0.8888888888888888,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046,452,169.31460009765624,2.669586673206553,6,6,90,6,1,111,96,7,6,441.3078326431952,2.0,4780.88874764492,82.300048828125,0.929503916449086,0.0131004366812227,0.1965065502183406,0.0021834061135371,0.2096069868995633,0.0131004366812227,0.2423580786026201,0.875,0.0070921985815602,0.2127659574468085,0.226950354609929,0.0070921985815602,1,0.0070921985815602,0.2127659574468085,0.226950354609929,0.0070921985815602,1,0.0070921985815602,0.2127659574468085,0.226950354609929,0.0070921985815602,1,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,1,0.1,0.0,0.1,1,0.1,0.0,0.1,1,0.0,0.0,0,0,0.0,9.133219401041666,1.270142401286064,83.63330078125,1.3780276863184766,667.8655698580193,111.31092830966988,1044.3333333333333,527.8333333333334,96.10341651921988,108.15991247530977,6,0.0,0.0,20.0,6.0,0.0666666666666666,4.070011190924292,0.0,0.0,6,63,1.143800048828125,0.2867850477335252,0.845300048828125,1.41610009765625,2,0,1,1,0,1,3,1,0,17.416666666666668,17.417779856040877,40726.38326009115,33490.23438222727,0
2,0.1002620687551397,13743.68,5573.2770695341915,13.298482166666668,2.6898219020855945,33.02,563.4449999999999,0.0982373247983834,0.0855151565918412,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,0.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,2,0,147.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196,335,75.60269995117187,4.431058681983055,6,9,63,11,1,77,63,6,6,254.177103883891,0.699951171875,993.8599261293554,2993.7400390624957,0.9326599326599326,0.032258064516129,0.1847507331378299,0.002932551319648,0.1847507331378299,0.0263929618768328,0.2258064516129032,0.7027027027027027,0.0204081632653061,0.2040816326530612,0.2040816326530612,0.0204081632653061,1,0.0188679245283018,0.2075471698113207,0.2075471698113207,0.0188679245283018,1,0.0196078431372549,0.2058823529411764,0.2058823529411764,0.0196078431372549,1,0.1538461538461538,0.0,0.0769230769230769,0.0769230769230769,1,0.1818181818181818,0.0,0.0909090909090909,1,0.0909090909090909,0.0,0.0909090909090909,1,0.0,0.0,0,0,0.0,2806.166748046875,468.0173786886205,1.1666395399305556,0.4330033090193108,1578.2601632511864,263.0433605418644,728.0,460.0,102.8056418685278,49.1553659329274,7,0.0,0.0,17.0,0.0,0.0,3.8072777888664247,5.0,5.0,6,63,11.378716674804688,2.764533443696204,8.125800048828125,15.107699951171876,2,0,1,1,0,4,5,1,0,12.216654459635416,11.707261534534114,1866.4833170572915,1911.7744453232544,0
4,0.0367689113265859,32051.307,38183.14470175685,32.410856,14.324527091133897,359.54900000000004,563.4449999999999,0.0453001298809707,1.9147340502091368,4,2,1,0.5,2,12.75,0.957427107756338,0.25,0.25,1,0.0,0.0,1.0,1.0,3,1.0,0.75,0.75,0.5,0.0,0.25,0,3,145.0,1,2,1.0,0.25,7,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0.25,1.0,0.0,1.0,1.0,13828097.0,0.0,6815744.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.75,0.5,14.75,4.75,8.5,0.0,0.0,0.5,0.25,0.0,1.0,1.0,1.0,1.6094379124341005,131,60.317800048828126,2.1718298726736323,2,4,20,14,0,26,22,6,1,529.3460185633296,10.300048828125,2950.5347761070616,2803.3199218749996,0.672566371681416,0.1052631578947368,0.150375939849624,0.0,0.1654135338345864,0.0300751879699248,0.1954887218045112,0.1764705882352941,0.1029411764705882,0.1470588235294117,0.1617647058823529,0.0294117647058823,1,0.1076923076923077,0.1538461538461538,0.1692307692307692,0.0307692307692307,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,561.949951171875,0.7778865127018025,0.6500244140625,0.1290994602634327,2667.024870133118,1333.512435066559,874.0,284.5,312.35983523280754,199.18584287042088,4,0.0,0.0,9.0,0.0,0.0,3.1219280948743777,0.0,0.0,2,3,14.695400024414065,0.0459621134106174,14.66289990234375,14.727900146484377,1,0,0,0,0,0,0,0,0,328.1500244140625,462.6600014570563,23151.050048828125,10287.343006092487,2
3,0.1006137618340788,12435.576,8566.780942091515,14.908497333333337,6.349102967672352,18035.5045,563.4449999999999,0.0909340442223229,0.2594338413197614,9,7,1,0.1428571428571428,7,11.22222222222222,1.986062547968831,0.7777777777777778,0.1111111111111111,0,0.8888888888888888,0.0,1.0,1.0,3,0.0,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.0,0.1111111111111111,2,0,147.0,2,2,1.0,0.1111111111111111,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.8888888888888888,0.0,1.0,0.8888888888888888,16711681.0,0.0,5708913.777777778,0.0,1.0,0.0,0.0,1.0,0.7777777777777778,0.6666666666666666,0.2222222222222222,0.2222222222222222,15.22222222222222,4.0,8.11111111111111,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,1.0,1.0,2.302585092994046,381,84.95780004882812,4.484579400373202,6,10,79,12,0,83,64,8,6,256.32386765955437,0.699951171875,1104.236786784386,2005.1500244140625,0.9486404833836858,0.0310077519379844,0.2041343669250646,0.0,0.165374677002584,0.0258397932816537,0.2144702842377261,0.7362637362637363,0.0120481927710843,0.2409638554216867,0.1927710843373494,0.0120481927710843,1,0.0219780219780219,0.2197802197802197,0.1758241758241758,0.0219780219780219,1,0.0228571428571428,0.2228571428571428,0.1828571428571428,0.0228571428571428,1,0.1,0.0,0.0,0.1,1,0.1666666666666666,0.0,0.0,1,0.125,0.0,0.125,1,0.0,0.0,0,0,0.0,48.77496337890625,2.224703903132412,0.9909224076704546,0.4700484008696051,2083.8753666564517,347.3125611094086,713.7,481.3,146.01221410096713,59.355894586992974,6,3.0,0.0379746835443038,16.0,8.0,0.1012658227848101,3.8762562227006354,0.0,0.0,6,63,11.077250040690105,6.0969552101399085,4.870699951171875,21.762900146484377,3,1,1,1,0,2,5,2,0,12.699991861979166,12.10440231506803,3775.033325195313,1900.3116004518456,0
5,0.0327755467335655,33695.722,28186.919871706217,50.85091883333334,22.42311178549492,4553.711,26011.564,0.0267408265606834,0.2860558998772827,10,7,2,0.1428571428571428,7,12.8,3.190262963734773,0.1,0.1,1,0.0,0.1,1.0,0.9,3,0.9,0.9,0.9,0.7,0.1,0.0,0,3,145.0,3,1,0.8888888888888888,0.1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,0.9,0.1,0.9,0.9,252524772.44444445,0.1,244201699.44444445,0.8333333333333334,0.1666666666666666,0.0,0.0,0.0,0.6,0.0,0.9,0.3,16.5,5.0,11.3,0.0,0.0,0.2,0.6,0.1,1.0,1.0,1.0,2.3978952727983707,286,286.05069995117185,0.9998227588634444,6,12,30,44,6,56,33,14,6,1140.562,1.9000244140625,4999.999676564183,3410.1900634765557,0.72,0.1506849315068493,0.1027397260273972,0.0205479452054794,0.1130136986301369,0.0410958904109589,0.1917808219178082,-0.1891891891891892,0.1029411764705882,0.1470588235294117,0.1617647058823529,0.0294117647058823,1,0.1029411764705882,0.1470588235294117,0.1617647058823529,0.0294117647058823,1,0.1029411764705882,0.1470588235294117,0.1617647058823529,0.0294117647058823,1,0.2093023255813953,0.0,0.1395348837209302,0.0697674418604651,1,0.32,0.0,0.04,1,0.3,0.0,0.1,1,0.0,0.0,0,0,0.0,609.666748046875,63.416453957096515,0.4923001802884615,0.2782962474637909,7512.275775739446,1252.045962623241,1034.6666666666667,288.9166666666667,249.863720431516,230.1704737139344,12,0.0,0.0,9.0,0.0,0.0,3.1219280948743777,0.0,0.0,6,63,20.822300008138026,18.117008766181858,10.269800048828126,57.585800048828126,2,0,1,1,0,0,5,1,0,346.9499918619792,371.7003898306529,29576.19999186198,6844.540523369903,6
0,0.0195840757013829,4.121,31435.6247644336,68.0825255,15.990470955664684,37.399,563.4449999999999,0.0216750119791353,5.414096322171311,8,7,1,0.1428571428571428,7,12.25,0.7071067811865476,0.5,0.0,0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,1,3,122.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,1.0,0.0,0.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196,92,391.14110009765625,0.2352092377329571,6,7,3,9,1,18,3,9,6,4546.712791265443,1.0999755859375,10353.300570407522,29481.799865722656,0.8255813953488372,0.0918367346938775,0.0306122448979591,0.010204081632653,0.0306122448979591,0.0714285714285714,0.1836734693877551,-0.5,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555,1,0.08,0.04,0.04,0.08,1,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,1,0.125,0.0,0.0625,0.125,1,0.1666666666666666,0.0,0.0,1,0.1,0.0,0.1,1,0.0,0.0,0,0,0.0,23.266682942708332,0.8082339950032505,12.63751220703125,0.6675120507780733,2090.555169631005,348.4258616051675,855.4285714285714,320.2857142857143,142.4147196779616,206.1202838843655,7,3.0,1.0,1.0,0.0,0.0,-1.4428232973175177e-12,12.0,12.0,6,63,45.12673335774739,13.395807846475552,29.80110009765625,60.283,2,1,1,1,0,2,4,1,0,15.983357747395834,15.200244684121262,22889.44999186198,4180.359099144452,3
3,0.0928381552439632,10237.5895,8418.419115664998,16.157149999999998,11.610353764894317,10914.552500000002,563.4449999999999,0.0909340442223229,0.2594338413197614,9,7,1,0.1428571428571428,7,11.88888888888889,0.3333333333333333,0.7777777777777778,0.1111111111111111,0,0.8888888888888888,0.0,1.0,1.0,3,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.0,0.1111111111111111,2,0,147.0,1,2,1.0,0.1111111111111111,7,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0.1111111111111111,1.0,0.0,1.0,1.0,14847545.888888888,0.0,6524472.888888889,0.0,1.0,0.0,0.0,1.0,0.7777777777777778,0.6666666666666666,0.2222222222222222,0.2222222222222222,14.88888888888889,4.333333333333333,8.222222222222221,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,1.0,1.0,2.302585092994046,467,92.61039990234374,5.042630206677051,6,12,100,14,0,106,80,7,6,227.79088633870845,0.60009765625,1104.8418686145303,22.8748779296875,0.9532019704433498,0.0295983086680761,0.2114164904862579,0.0,0.1691331923890063,0.0253699788583509,0.2241014799154334,0.7543859649122807,0.0161290322580645,0.2419354838709677,0.1935483870967742,0.0161290322580645,1,0.0458715596330275,0.1834862385321101,0.146788990825688,0.0458715596330275,1,0.0120481927710843,0.2409638554216867,0.1927710843373494,0.0120481927710843,1,0.1,0.0,0.0,0.1,1,0.1666666666666666,0.0,0.0,1,0.0909090909090909,0.0,0.0909090909090909,1,0.0,0.0,0,0,0.0,44.6749267578125,3.9076599551951343,0.9076960637019232,0.545370825874919,1598.3445316648604,266.3907552774767,737.4166666666666,466.5,151.36137271944634,40.80663938848454,6,5.0,0.05,16.0,10.0,0.1,3.8841837197561055,0.0,0.0,6,63,13.088733317057292,11.08821180222122,3.854699951171875,31.340400146484377,4,1,1,1,0,2,5,1,0,12.01666259765625,11.622244672967089,3006.366658528646,1503.0633236254982,0
