agent_label,n_requests,n_nav,n_sub,nav_order_stability,n_unique_nav_hashes,n_headers_mean,n_headers_std,sf_site_none_rate,sf_violation_rate,sf_site_mode,headless_rate,ch_incoherence_rate,ch_mobile_matches_rate,ch_platform_matches_rate,ch_brand_count_mode,accept_lang_rate,has_priority_rate,has_sec_ch_ua_rate,has_upgrade_ins_rate,has_te_rate,has_connection_rate,has_cache_control_rate,ua_family_mode,ua_os_mode,ua_version_mode,ua_version_n_distinct,ua_family_n_distinct,priority_correct_rate,priority_urgency_mode,has_nonstandard_rate,n_nonstandard_distinct,ns_hdr_Next-Action,ns_hdr_Accept-Charset,ns_hdr_Signature,ns_hdr_Signature-Agent,ns_hdr_From,ns_hdr_X-Forwarded-Proto,ns_hdr_Cf-Ew-Via,ns_hdr_Pragma,ns_hdr_X-Request-Id,ns_hdr_Cdn-Loop,ns_hdr_Cf-Ray,ns_hdr_Cf-Worker,ns_hdr_Keep-Alive,ns_hdr_Amp-Cache-Transform,ns_hdr_X-Requested-With,ns_hdr_Sec-Gpc,ns_hdr_Signature-Input,ns_hdr_Cf-Visitor,ns_hdr_X-Envoy-Expected-Rq-Timeout-Ms,ns_hdr_Sec-Purpose
0,10,7,1,0.1428571428571428,7,11.8,1.1352924243950933,0.4,0.2,0,0.8,1.0,0.8,1.0,3,0.2,0.8,0.8,0.9,0.0,0.2,0.2,1,3,122.0,2,2,1.0,0.0,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,8,7,1,0.1428571428571428,7,12.0,0.5345224838248488,0.75,0.0,0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,0.0,1,3,122.0,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,1,1.0,1,11.5,0.7071067811865476,0.5,0.0,0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1,3,122.0,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,7,1,0.1428571428571428,7,11.77777777777778,0.8333333333333333,0.6666666666666666,0.1111111111111111,0,0.8888888888888888,1.0,0.8888888888888888,1.0,3,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,1,3,122.0,2,2,1.0,0.0,0.1111111111111111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,9,7,1,0.1428571428571428,7,10.77777777777778,3.700600551862419,0.6666666666666666,0.1111111111111111,0,0.8888888888888888,0.8888888888888888,1.0,1.0,3,0.0,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.0,0.0,0.0,1,3,122.0,1,2,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,6,1,0.1666666666666666,6,12.0,0.5345224838248488,0.625,0.125,0,0.875,0.875,1.0,1.0,3,0.125,0.875,0.875,0.75,0.0,0.0,0.125,1,3,122.0,1,2,1.0,0.0,0.125,7,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
0,10,7,1,0.1428571428571428,7,10.0,4.268749491621899,0.6,0.2,0,0.8,0.8,1.0,1.0,3,0.0,0.8,0.8,0.7,0.0,0.1,0.0,1,3,122.0,2,2,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,7,3,0.1428571428571428,7,9.166666666666666,4.302923600896432,0.5,0.3333333333333333,0,0.6666666666666666,0.6666666666666666,1.0,1.0,3,0.25,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.0,0.0,0.0,1,3,122.0,2,3,1.0,0.0,0.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,7,2,0.1428571428571428,7,8.916666666666666,4.378840305862092,0.5833333333333334,0.3333333333333333,0,0.6666666666666666,0.6666666666666666,1.0,1.0,3,0.0,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.0,0.1666666666666666,0.0,1,3,122.0,1,2,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,7,2,0.1428571428571428,7,8.846153846153847,4.058861783106067,0.5384615384615384,0.3846153846153846,0,0.6153846153846154,0.7692307692307693,0.8461538461538461,1.0,3,0.0769230769230769,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,0.2307692307692307,0.0,1,3,122.0,3,4,1.0,0.0,0.1538461538461538,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
