page,app_event,blur,change,click,focus,input,keydown,keyup,mousedown,mousemove,mouseup,page,scroll,visibility,selection
Delayed Feedback — UX Behavior,0.11249999999999999,0.0,0.0,0.037500000000000006,0.037500000000000006,0.0,0.0,0.0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.7,0.0,0.0,0.0
S1-subscribe-v1,0.2114308105687416,0.0415972915972916,0.0,0.06521495745633676,0.09064163805543116,0.05478429616360651,0.0657996218341046,0.0657996218341046,0.06521495745633676,0.06521495745633676,0.06521495745633676,0.18804112554112554,0.0,0.053347514554411106,0.0
S2-subscribe-v2,0.1654392049057874,0.0404950875889091,0.05338793082500177,0.0686021631559389,0.09215416991949778,0.04786504142931193,0.05347802441150504,0.05347802441150504,0.0686021631559389,0.0686021631559389,0.0686021631559389,0.1675446879676344,0.0,0.055848229322544796,0.05425883549453344
S3-subscribe-v3,0.11888694871888149,0.02722621169679993,0.0,0.07207761892635842,0.10453454108916294,0.03578097905828998,0.03578097905828998,0.03578097905828998,0.07207761892635842,0.07207761892635842,0.07207761892635842,0.2674619847939176,0.0,0.08915399493130585,0.0
S4-scroll-gate,0.17808254963427378,0.0,0.0,0.1044148380355277,0.015373563218390804,0.0,0.0,0.0,0.1044148380355277,0.1044148380355277,0.1044148380355277,0.26712382445141064,0.0790719696969697,0.08904127481713689,0.0
S5-hover-reveal,0.24425287356321837,0.0,0.0,0.0,0.07758620689655173,0.0,0.0,0.0,0.07758620689655173,0.16666666666666666,0.07758620689655173,0.2672413793103448,0.0,0.08908045977011493,0.0
S6-dom-mismatch,0.2607272727272727,0.0,0.0,0.09824242424242424,0.0,0.0,0.0,0.0,0.09824242424242424,0.09824242424242424,0.09824242424242424,0.26639393939393935,0.0,0.07990909090909092,0.0
